busStop_ID,busStop_X,busStop_Y
1,-9.74376,-2.81686
2,-9.74376,-1.41686
3,-9.74376,-0.01686
4,-9.74376,1.38314
5,-9.74376,2.78314
6,-9.74376,4.18314
7,-8.34376,-5.61686
8,-8.34376,-4.21686
9,-8.34376,-2.81686
10,-8.34376,-1.41686
11,-8.34376,-0.01686
12,-8.34376,1.38314
13,-8.34376,2.78314
14,-8.34376,4.18314
15,-8.34376,5.58314
16,-6.94376,-5.61686
17,-6.94376,-4.21686
18,-6.94376,-2.81686
19,-6.94376,-1.41686
20,-6.94376,-0.01686
21,-6.94376,1.38314
22,-6.94376,2.78314
23,-6.94376,4.18314
24,-6.94376,5.58314
25,-6.94376,6.98314
26,-5.54376,-8.41686
27,-5.54376,-7.01686
28,-5.54376,-5.61686
29,-5.54376,-4.21686
30,-5.54376,-2.81686
31,-5.54376,-1.41686
32,-5.54376,-0.01686
33,-5.54376,1.38314
34,-5.54376,2.78314
35,-5.54376,4.18314
36,-5.54376,5.58314
37,-5.54376,6.98314
38,-5.54376,8.38314
39,-4.14376,-7.01686
40,-4.14376,-5.61686
41,-4.14376,-4.21686
42,-4.14376,-2.81686
43,-4.14376,-1.41686
44,-4.14376,-0.01686
45,-4.14376,1.38314
46,-4.14376,2.78314
47,-4.14376,4.18314
48,-4.14376,5.58314
49,-4.14376,6.98314
50,-4.14376,8.38314
51,-4.14376,9.78314
52,-2.74376,-9.81686
53,-2.74376,-8.41686
54,-2.74376,-5.61686
55,-2.74376,-4.21686
56,-2.74376,-2.81686
57,-2.74376,-1.41686
58,-2.74376,-0.01686
59,-2.74376,1.38314
60,-2.74376,2.78314
61,-2.74376,4.18314
62,-2.74376,5.58314
63,-2.74376,6.98314
64,-2.74376,8.38314
65,-2.74376,9.78314
66,-1.34376,-9.81686
67,-1.34376,-8.41686
68,-1.34376,-7.01686
69,-1.34376,-4.21686
70,-1.34376,-2.81686
71,-1.34376,-1.41686
72,-1.34376,-0.01686
73,-1.34376,1.38314
74,-1.34376,2.78314
75,-1.34376,4.18314
76,-1.34376,5.58314
77,-1.34376,6.98314
78,-1.34376,8.38314
79,-1.34376,9.78314
80,0.05624,-9.81686
81,0.05624,-8.41686
82,0.05624,-7.01686
83,0.05624,-5.61686
84,0.05624,-4.21686
85,0.05624,-2.81686
86,0.05624,-1.41686
87,0.05624,2.78314
88,0.05624,4.18314
89,0.05624,5.58314
90,0.05624,6.98314
91,0.05624,8.38314
92,0.05624,9.78314
93,1.45624,-9.81686
94,1.45624,-8.41686
95,1.45624,-7.01686
96,1.45624,-5.61686
97,1.45624,-4.21686
98,1.45624,-2.81686
99,1.45624,-1.41686
100,1.45624,-0.01686
101,1.45624,1.38314
102,1.45624,2.78314
103,1.45624,4.18314
104,1.45624,5.58314
105,1.45624,6.98314
106,1.45624,8.38314
107,1.45624,9.78314
108,2.85624,-9.81686
109,2.85624,-8.41686
110,2.85624,-7.01686
111,2.85624,-5.61686
112,2.85624,-4.21686
113,2.85624,-2.81686
114,2.85624,-1.41686
115,2.85624,-0.01686
116,2.85624,1.38314
117,2.85624,2.78314
118,2.85624,4.18314
119,2.85624,5.58314
120,2.85624,6.98314
121,2.85624,8.38314
122,2.85624,9.78314
123,4.25624,-9.81686
124,4.25624,-8.41686
125,4.25624,-7.01686
126,4.25624,-5.61686
127,4.25624,-4.21686
128,4.25624,-2.81686
129,4.25624,-1.41686
130,4.25624,-0.01686
131,4.25624,1.38314
132,4.25624,2.78314
133,4.25624,4.18314
134,4.25624,5.58314
135,4.25624,6.98314
136,4.25624,8.38314
137,4.25624,9.78314
138,5.65624,-8.41686
139,5.65624,-7.01686
140,5.65624,-5.61686
141,5.65624,-4.21686
142,5.65624,-2.81686
143,5.65624,-1.41686
144,5.65624,-0.01686
145,5.65624,1.38314
146,5.65624,2.78314
147,5.65624,4.18314
148,5.65624,5.58314
149,5.65624,6.98314
150,5.65624,8.38314
151,7.05624,-5.61686
152,7.05624,-4.21686
153,7.05624,-2.81686
154,7.05624,-1.41686
155,7.05624,-0.01686
156,7.05624,1.38314
157,7.05624,2.78314
158,7.05624,4.18314
159,7.05624,5.58314
160,7.05624,6.98314
161,8.45624,-5.61686
162,8.45624,-4.21686
163,8.45624,-2.81686
164,8.45624,-1.41686
165,8.45624,-0.01686
166,8.45624,1.38314
167,8.45624,2.78314
168,8.45624,4.18314
169,8.45624,5.58314
170,9.85624,-2.81686
171,9.85624,-1.41686
172,9.85624,-0.01686
173,9.85624,1.38314
174,9.85624,2.78314
175,9.85624,4.18314
